"params","Low","Med","Up","lab"
"sigma_logvl",0.900005989061496,1.03544125101235,1.16816195670432,"1 [95% CrI: 0.9 to 1.2]"
"alpha_0",4.45729086988865,4.79180349425878,5.14982865304954,"4.8 [95% CrI: 4.5 to 5.1]"
"beta_0",-0.998217879097043,-0.815501630097293,-0.636376269887909,"-0.8 [95% CrI: -1 to -0.6]"
"sigmasq_u.1",0.927323107676977,1.17135749452643,1.50490604244781,"1.2 [95% CrI: 0.9 to 1.5]"
"sigmasq_u.2",0.530942496298482,0.702723744889049,0.96555428812159,"0.7 [95% CrI: 0.5 to 1]"
"theta_rand_id.1.1",-1.13138162165006,-0.322603075493866,0.423298851058606,"-0.3 [95% CrI: -1.1 to 0.4]"
"theta_rand_id.2.1",0.19496718548624,1.01974226203265,1.84436929286802,"1 [95% CrI: 0.2 to 1.8]"
"theta_rand_id.3.1",0.157059331309879,1.07743505265356,1.94531947721789,"1.1 [95% CrI: 0.2 to 1.9]"
"theta_rand_id.4.1",-0.322909149140807,0.675437403429894,1.66006578356133,"0.7 [95% CrI: -0.3 to 1.7]"
"theta_rand_id.5.1",-2.8185547823984,-1.71723228623923,-0.579622366420126,"-1.7 [95% CrI: -2.8 to -0.6]"
"theta_rand_id.6.1",-0.299588865676886,0.644262500201302,1.65479122632499,"0.6 [95% CrI: -0.3 to 1.7]"
"theta_rand_id.7.1",1.43701475790106,2.36498683437792,3.23573730962173,"2.4 [95% CrI: 1.4 to 3.2]"
"theta_rand_id.8.1",-1.13824625490823,-0.200161153062902,0.800826041223578,"-0.2 [95% CrI: -1.1 to 0.8]"
"theta_rand_id.9.1",-2.2556367144109,-1.35208555511403,-0.394699907603704,"-1.4 [95% CrI: -2.3 to -0.4]"
"theta_rand_id.10.1",-0.626058873657918,0.136448526393983,0.929120672715328,"0.1 [95% CrI: -0.6 to 0.9]"
"theta_rand_id.11.1",-0.307377497668755,0.707962960831154,1.58164265954777,"0.7 [95% CrI: -0.3 to 1.6]"
"theta_rand_id.12.1",0.218282338402735,0.933506980012102,1.66770490699877,"0.9 [95% CrI: 0.2 to 1.7]"
"theta_rand_id.13.1",-0.478576918016604,0.405890308623549,1.26519520106209,"0.4 [95% CrI: -0.5 to 1.3]"
"theta_rand_id.14.1",-1.44470187039347,-0.566218489768062,0.261479204998675,"-0.6 [95% CrI: -1.4 to 0.3]"
"theta_rand_id.15.1",-0.683558933785031,0.199800939228585,1.13899381934946,"0.2 [95% CrI: -0.7 to 1.1]"
"theta_rand_id.16.1",-0.0293532524952721,0.994187456489285,1.92674414230461,"1 [95% CrI: 0 to 1.9]"
"theta_rand_id.17.1",-0.0381296730071805,0.751262194316667,1.58081210635767,"0.8 [95% CrI: 0 to 1.6]"
"theta_rand_id.18.1",-1.44060472754467,-0.281138859587551,0.859129236227628,"-0.3 [95% CrI: -1.4 to 0.9]"
"theta_rand_id.19.1",-1.19018263641595,-0.300219539521605,0.61119220196906,"-0.3 [95% CrI: -1.2 to 0.6]"
